Compound Score,News Name,Tweets ago
-0.4003,BBC,105
-0.2023,BBC,106
0.0,BBC,107
0.7269,BBC,108
-0.5994,BBC,109
0.7906,BBC,110
0.4215,BBC,111
0.0,BBC,112
-0.1531,BBC,113
0.0,BBC,114
0.0,BBC,115
0.0,BBC,116
-0.296,BBC,117
0.636,BBC,118
0.0,BBC,119
0.1531,BBC,120
0.34,BBC,121
0.4019,BBC,122
0.25,BBC,123
0.0,BBC,124
-0.5423,BBC,125
0.6486,BBC,126
0.0,BBC,127
0.6696,BBC,128
0.25,BBC,129
-0.1511,BBC,130
0.0772,BBC,131
0.0,BBC,132
-0.5411,BBC,133
-0.7351,BBC,134
0.0,BBC,135
0.7351,BBC,136
0.0,BBC,137
0.0,BBC,138
0.0,BBC,139
0.0,BBC,140
0.0,BBC,141
0.5093,BBC,142
0.0,BBC,143
0.0,BBC,144
0.5859,BBC,145
-0.1082,BBC,146
0.0,BBC,147
0.3612,BBC,148
0.0,BBC,149
0.0,BBC,150
0.3612,BBC,151
0.4926,BBC,152
0.0,BBC,153
-0.5994,BBC,154
0.7269,BBC,155
0.0,BBC,156
0.0,BBC,157
0.1531,BBC,158
0.5423,BBC,159
0.0,BBC,160
-0.5574,BBC,161
0.4215,BBC,162
0.0,BBC,163
0.2235,BBC,164
0.0,BBC,165
0.0,BBC,166
0.0,BBC,167
0.0,BBC,168
-0.2263,BBC,169
0.0,BBC,170
0.8122,BBC,171
0.0,BBC,172
-0.2732,BBC,173
0.0,BBC,174
-0.875,BBC,175
0.7644,BBC,176
0.6114,BBC,177
0.6369,BBC,178
0.0,BBC,179
0.5719,BBC,180
0.0,BBC,181
0.0,BBC,182
0.7717,BBC,183
0.0,BBC,184
0.0,BBC,185
0.0,BBC,186
0.0,BBC,187
0.0,BBC,188
0.8083,BBC,189
0.1695,BBC,190
0.4404,BBC,191
0.6705,BBC,192
0.6705,BBC,193
0.8126,BBC,194
0.3947,BBC,195
-0.1511,BBC,196
0.5719,BBC,197
0.5574,BBC,198
-0.2023,BBC,199
0.0,BBC,200
0.6597,CBS,1
0.0,CBS,2
0.0,CBS,3
0.2732,CBS,4
0.6239,CBS,5
0.6467,CBS,6
0.7096,CBS,7
0.5562,CBS,8
0.4199,CBS,9
0.6696,CBS,10
0.0,CBS,11
0.3612,CBS,12
0.0,CBS,13
0.0,CBS,14
0.0,CBS,15
0.0,CBS,16
0.5859,CBS,17
0.6597,CBS,18
-0.3875,CBS,19
0.807,CBS,20
0.7568,CBS,21
0.8495,CBS,22
0.4926,CBS,23
-0.3182,CBS,24
-0.25,CBS,25
0.0,CBS,26
0.0,CBS,27
0.7096,CBS,28
0.7906,CBS,29
0.1513,CBS,30
0.6486,CBS,31
0.0,CBS,32
0.4199,CBS,33
0.4926,CBS,34
0.0,CBS,35
0.0,CBS,36
0.3818,CBS,37
0.296,CBS,38
0.508,CBS,39
0.0,CBS,40
0.7959,CBS,41
0.807,CBS,42
0.0,CBS,43
0.5319,CBS,44
0.5399,CBS,45
-0.34,CBS,46
0.7003,CBS,47
0.0,CBS,48
0.0,CBS,49
0.7184,CBS,50
0.9451,CBS,51
0.0,CBS,52
0.6996,CBS,53
0.4939,CBS,54
0.8997,CBS,55
0.0,CBS,56
0.7081,CBS,57
0.636,CBS,58
0.0,CBS,59
0.5106,CBS,60
0.0,CBS,61
0.5562,CBS,62
0.0,CBS,63
0.7845,CBS,64
0.0,CBS,65
0.6514,CBS,66
0.1867,CBS,67
0.0,CBS,68
0.6166,CBS,69
0.7096,CBS,70
0.296,CBS,71
0.0,CBS,72
0.6514,CBS,73
0.7088,CBS,74
-0.4939,CBS,75
0.6514,CBS,76
0.6115,CBS,77
0.6696,CBS,78
0.3612,CBS,79
0.539,CBS,80
0.2244,CBS,81
0.0,CBS,82
0.4926,CBS,83
0.1275,CBS,84
0.4215,CBS,85
0.8658,CBS,86
0.0,CBS,87
0.8625,CBS,88
